global_rank,run_rank,run_id,run_date,score,idea_id,idea_name,idea_slug,market,target_user,core_loop,evidence_summary,source_path
1,1,20260109_201044_app_factory_run,2026-01-09,9.2,subleak_001,SubLeak,subleak,Subscription Leak Prevention,"Households with 5+ active subscriptions who have lost track of what they're paying for","Connect bank -> Review charges -> Mark wanted/unwanted -> Pre-renewal reminders -> Track savings","C+R Research: $133/month gap between perceived and actual spend. Rocket Money users report $200+ savings.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
2,2,20260109_201044_app_factory_run,2026-01-09,8.9,warrantyvault_002,WarrantyVault,warrantyvault,Home Asset Lifecycle Management,"Homeowners and renters with valuable appliances, electronics, and furniture","Scan receipt -> Auto-extract warranty -> Store digital copy -> Expiration alert -> Access for claims","SlipCrate: Average household loses $400+ annually on expired or unprovable warranties.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
3,3,20260109_201044_app_factory_run,2026-01-09,8.7,microwin_003,MicroWin,microwin,Sustainable Habit Formation,People who have tried and abandoned habit trackers,"Add micro-habit -> Morning check-in -> Mark complete/partial -> Celebration -> Weekly adjustment","Retention rates decline sharply after weeks; gamification fatigue and wrong system fit cited.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
4,4,20260109_201044_app_factory_run,2026-01-09,8.5,onetask_004,OneTask,onetask,Minimal Productivity Tools,Overwhelmed knowledge workers suffering from productivity app fatigue,"Dump tasks -> App surfaces ONE -> Complete or snooze -> Next auto-surfaces -> Weekly review","Users report spending more time organizing than doing; Notion performance complaints widespread.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
5,5,20260109_201044_app_factory_run,2026-01-09,8.4,touchbase_005,TouchBase,touchbase,Relationship Touchpoint Tracking,Professionals wanting to maintain relationships but forgetting to reach out,"Import contacts -> Set frequency -> Receive reminder -> Log interaction -> See dashboard","Personal CRMs are web-only and sales-focused; mobile sync issues plague current solutions.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
6,6,20260109_201044_app_factory_run,2026-01-09,8.2,mealflow_006,MealFlow,mealflow,Meal Prep Coordination,Home cooks who plan weekly meals and want seamless shopping list generation,"Add meals to calendar -> Adjust servings -> Generate smart list -> Shop -> Save templates","Plan changes don't update shopping lists; serving size options limited; random list order.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
7,7,20260109_201044_app_factory_run,2026-01-09,8.0,giftmind_007,GiftMind,giftmind,Relationship Touchpoint Tracking,Thoughtful gift-givers who want to remember ideas year-round,"Add person with dates -> Capture ideas -> Reminder before occasion -> Mark purchased -> Review history","GiftList editing bugs; GiftTracker lacks cloud sync; users lose data on phone upgrades.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
8,8,20260109_201044_app_factory_run,2026-01-09,7.9,quietfocus_008,QuietFocus,quietfocus,Minimal Productivity Tools,Professionals overwhelmed by constant notifications,"Configure always-through -> App learns patterns -> Batch digest -> Important immediate -> Weekly report","Notification fatigue linked to burnout; DND too binary; need intelligent filtering.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
9,9,20260109_201044_app_factory_run,2026-01-09,7.8,carecal_009,CareCal,carecal,Home Asset Lifecycle Management,"Busy households juggling pet care, plant care, and home maintenance","Add care items -> Set schedules -> Daily checklist -> Mark complete -> Calendar view","Users have separate apps for pets, plants, car, home; multi-pet households underserved.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
10,10,20260109_201044_app_factory_run,2026-01-09,7.6,clearread_010,ClearRead,clearread,Reading Progress Tracking,Avid readers wanting simple tracking without Goodreads social noise,"Add book -> Update progress -> See streak and goals -> Mark complete -> Review stats","Cross-device sync requested 35+ times; slow loading top complaint; social features unwanted.",runs/2026-01-09/20260109_201044_app_factory_run/stage01/stages/stage01.json
